Country,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00
CANADA,1831.40,1889.80,2113.50,2248.10,2663.90,3269.30,4446.60,3600.10,3594.00,4117.30,4526.30,5107.10,5015.70,4752.20,4613.00,4976.80
MEXICO,218.70,259.50,301.10,331.10,400.40,525.10,628.30,662.70,756.70,912.70,970.60,980.30,961.30,1088.20,1324.30,1417.80
THAILAND,142.50,187.70,214.10,206.60,244.30,298.80,453.30,469.90,519.90,544.80,579.70,624.50,609.90,611.60,569.60,589.60
ITALY,198.20,217.60,233.90,268.40,280.70,321.60,333.80,314.10,319.40,362.60,398.70,404.40,463.90,486.40,493.10,525.70
GERMANY,68.30,93.00,109.20,105.40,113.70,136.90,189.30,169.30,174.10,206.60,234.00,255.70,291.00,272.20,284.90,339.90
INDIA,48.80,50.80,52.70,65.90,85.00,118.10,182.10,171.30,186.20,210.30,237.70,270.70,297.10,296.30,304.50,335.60
CHINA,41.60,76.60,80.70,78.90,150.50,161.10,158.70,126.00,151.70,187.90,218.50,223.60,230.70,249.60,255.50,264.50
FRANCE,73.60,87.20,102.50,83.70,88.20,105.30,139.70,103.00,106.70,107.40,98.40,111.10,138.40,150.40,223.80,244.90
UNITED KINGDOM,70.80,67.10,54.70,55.60,58.60,64.60,74.30,64.90,78.30,90.70,152.00,120.20,139.30,143.70,144.20,170.40
REST OF WORLD,648.90,688.80,748.20,796.90,825.00,913.90,1083.50,1164.70,1250.60,1322.50,1695.10,2159.40,1883.70,1979.60,1965.70,1995.50
Total,3342.80,3618.20,4010.50,4240.70,4910.10,5914.80,7689.60,6846.10,7137.50,8062.80,9111.10,10257.00,10030.90,10030.20,10178.60,10860.80
