Country,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00
CANADA,1729.00,1532.00,1978.10,2045.70,1651.70,1539.80,1525.90,1375.00,1728.40,1757.90,1658.30,1797.70,2346.10,2200.10,2159.50,2205.80
AUSTRALIA,1070.10,1146.90,1397.20,1242.40,1280.90,1383.90,1223.10,1150.60,1148.20,1242.10,1517.00,1523.50,2651.60,3106.40,2039.50,2064.50
NEW ZEALAND,583.80,619.30,769.00,784.80,706.40,659.50,742.80,614.10,718.00,893.40,948.90,967.90,1163.30,1384.90,1101.90,1118.30
MEXICO,16.00,26.80,36.00,51.50,81.70,103.70,92.10,134.80,227.60,345.40,547.50,582.70,836.40,1070.90,1089.10,1109.60
NICARAGUA,32.90,36.40,57.20,56.60,56.20,80.50,101.70,78.20,104.90,164.80,140.00,127.20,230.20,185.00,170.00,206.90
POLAND,0.00,0.00,0.00,0.00,0.00,0.00,1.30,4.50,8.00,6.10,7.30,19.00,68.70,73.60,99.20,204.60
URUGUAY,0.00,59.20,302.90,417.40,247.80,284.60,87.20,91.50,72.50,74.20,117.90,139.60,170.40,260.20,202.60,197.20
REST OF WORLD,170.50,200.30,246.10,222.20,200.80,222.20,230.80,207.30,216.10,243.30,268.50,264.10,319.90,325.30,343.20,415.90
Total,3602.30,3620.90,4786.50,4820.70,4225.60,4274.30,4004.90,3656.10,4223.60,4727.30,5205.30,5421.50,7786.60,8606.30,7205.00,7522.70
