Country,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00
MEXICO,1929.70,2283.80,2605.60,2806.60,3037.70,3299.20,3484.80,3400.90,4231.70,4754.70,4761.70,5330.60,5452.30,5650.80,6471.40,6312.00
CANADA,1155.10,1341.80,1485.90,1506.50,1665.30,1731.10,1916.40,1841.50,1957.70,2120.60,2140.20,2411.50,2425.40,2401.80,2570.60,2811.40
CHINA,142.60,171.70,221.80,253.10,327.90,429.90,425.70,376.30,493.90,551.30,579.50,565.60,511.20,573.80,665.50,736.70
PERU,109.10,129.90,168.70,221.50,278.50,329.50,381.50,382.30,428.20,475.90,517.00,550.60,556.30,587.90,577.20,576.30
SPAIN,276.40,305.70,325.10,300.80,277.60,293.20,302.20,279.40,315.10,288.50,280.00,282.50,317.80,340.80,357.40,349.60
GUATEMALA,45.60,54.20,64.10,67.00,70.60,88.60,121.60,121.90,108.20,148.30,163.10,172.10,181.20,192.10,183.90,198.20
NETHERLANDS,128.00,122.20,105.60,85.10,84.30,63.00,56.60,70.60,78.20,106.90,130.50,126.00,137.80,154.60,166.80,184.10
REST OF WORLD,604.40,673.10,753.20,802.30,877.30,1021.60,1111.90,1052.40,1092.60,1220.40,1373.60,1294.50,1347.70,1388.50,1476.30,1574.50
Total,4391.10,5082.40,5730.00,6043.10,6619.30,7256.00,7800.60,7525.20,8705.60,9666.60,9945.60,10733.50,10929.70,11290.20,12469.20,12743.00
